run_id,family,task_id,pattern,agent_count,topology,artefact_policy,replication,status,success,tests_passed,tests_failed,tests_errors,wall_time_s,error,run_dir,updated_at
family-2-compute_invoices-clean-a4-peer-allowed-r01,family-2,compute_invoices,clean,4,peer,allowed,1,ok,True,31,0,0,151.878,,<repo>/data/family-2-full/runs/family-2-compute_invoices-clean-a4-peer-allowed-r01,2026-06-09T15:14:33.073597+00:00
family-2-compute_invoices-clean-a4-peer-allowed-r02,family-2,compute_invoices,clean,4,peer,allowed,2,ok,True,31,0,0,196.112,,<repo>/data/family-2-full/runs/family-2-compute_invoices-clean-a4-peer-allowed-r02,2026-06-09T15:17:49.609292+00:00
family-2-compute_invoices-clean-a4-peer-allowed-r03,family-2,compute_invoices,clean,4,peer,allowed,3,ok,True,31,0,0,229.188,,<repo>/data/family-2-full/runs/family-2-compute_invoices-clean-a4-peer-allowed-r03,2026-06-09T15:21:39.222303+00:00
family-2-compute_invoices-clean-a4-peer-allowed-r04,family-2,compute_invoices,clean,4,peer,allowed,4,ok,True,31,0,0,205.429,,<repo>/data/family-2-full/runs/family-2-compute_invoices-clean-a4-peer-allowed-r04,2026-06-09T15:25:05.092520+00:00
family-2-compute_invoices-clean-a4-peer-allowed-r05,family-2,compute_invoices,clean,4,peer,allowed,5,ok,True,31,0,0,225.686,,<repo>/data/family-2-full/runs/family-2-compute_invoices-clean-a4-peer-allowed-r05,2026-06-09T15:28:51.210932+00:00
family-2-compute_invoices-clean-a4-peer-allowed-r06,family-2,compute_invoices,clean,4,peer,allowed,6,ok,True,31,0,0,166.666,,<repo>/data/family-2-full/runs/family-2-compute_invoices-clean-a4-peer-allowed-r06,2026-06-09T15:31:38.310655+00:00
family-2-compute_invoices-clean-a4-peer-allowed-r07,family-2,compute_invoices,clean,4,peer,allowed,7,ok,True,31,0,0,178.526,,<repo>/data/family-2-full/runs/family-2-compute_invoices-clean-a4-peer-allowed-r07,2026-06-09T15:34:37.267109+00:00
family-2-compute_invoices-clean-a4-peer-allowed-r08,family-2,compute_invoices,clean,4,peer,allowed,8,ok,True,31,0,0,170.373,,<repo>/data/family-2-full/runs/family-2-compute_invoices-clean-a4-peer-allowed-r08,2026-06-09T15:37:28.070249+00:00
family-2-compute_invoices-clean-a4-peer-allowed-r09,family-2,compute_invoices,clean,4,peer,allowed,9,ok,True,31,0,0,158.836,,<repo>/data/family-2-full/runs/family-2-compute_invoices-clean-a4-peer-allowed-r09,2026-06-09T15:40:07.333277+00:00
family-2-compute_invoices-clean-a4-peer-allowed-r10,family-2,compute_invoices,clean,4,peer,allowed,10,ok,True,31,0,0,205.399,,<repo>/data/family-2-full/runs/family-2-compute_invoices-clean-a4-peer-allowed-r10,2026-06-09T15:43:33.194805+00:00
family-2-summarise_transactions-clean-a1-orchestrator-allowed-r01,family-2,summarise_transactions,clean,1,orchestrator,allowed,1,ok,True,25,0,0,45.884,,<repo>/data/family-2-full/runs/family-2-summarise_transactions-clean-a1-orchestrator-allowed-r01,2026-05-29T16:15:32.763066+00:00
family-2-summarise_transactions-clean-a1-orchestrator-allowed-r02,family-2,summarise_transactions,clean,1,orchestrator,allowed,2,ok,True,25,0,0,48.975,,<repo>/data/family-2-full/runs/family-2-summarise_transactions-clean-a1-orchestrator-allowed-r02,2026-05-29T16:16:22.085492+00:00
family-2-summarise_transactions-clean-a1-orchestrator-allowed-r03,family-2,summarise_transactions,clean,1,orchestrator,allowed,3,ok,True,25,0,0,42.612,,<repo>/data/family-2-full/runs/family-2-summarise_transactions-clean-a1-orchestrator-allowed-r03,2026-05-29T16:17:05.040631+00:00
family-2-summarise_transactions-clean-a1-orchestrator-allowed-r04,family-2,summarise_transactions,clean,1,orchestrator,allowed,4,ok,True,25,0,0,46.339,,<repo>/data/family-2-full/runs/family-2-summarise_transactions-clean-a1-orchestrator-allowed-r04,2026-05-29T16:17:51.764122+00:00
family-2-summarise_transactions-clean-a1-orchestrator-allowed-r05,family-2,summarise_transactions,clean,1,orchestrator,allowed,5,ok,True,25,0,0,52.696,,<repo>/data/family-2-full/runs/family-2-summarise_transactions-clean-a1-orchestrator-allowed-r05,2026-05-29T16:18:44.821855+00:00
family-2-summarise_transactions-clean-a1-orchestrator-allowed-r06,family-2,summarise_transactions,clean,1,orchestrator,allowed,6,ok,True,25,0,0,54.513,,<repo>/data/family-2-full/runs/family-2-summarise_transactions-clean-a1-orchestrator-allowed-r06,2026-05-29T16:19:39.669259+00:00
family-2-summarise_transactions-clean-a1-orchestrator-allowed-r07,family-2,summarise_transactions,clean,1,orchestrator,allowed,7,ok,True,25,0,0,50.049,,<repo>/data/family-2-full/runs/family-2-summarise_transactions-clean-a1-orchestrator-allowed-r07,2026-05-29T16:20:30.075105+00:00
family-2-summarise_transactions-clean-a1-orchestrator-allowed-r08,family-2,summarise_transactions,clean,1,orchestrator,allowed,8,ok,True,25,0,0,48.405,,<repo>/data/family-2-full/runs/family-2-summarise_transactions-clean-a1-orchestrator-allowed-r08,2026-05-29T16:21:18.838754+00:00
family-2-summarise_transactions-clean-a1-orchestrator-allowed-r09,family-2,summarise_transactions,clean,1,orchestrator,allowed,9,ok,True,25,0,0,44.344,,<repo>/data/family-2-full/runs/family-2-summarise_transactions-clean-a1-orchestrator-allowed-r09,2026-05-29T16:22:03.533330+00:00
family-2-summarise_transactions-clean-a1-orchestrator-allowed-r10,family-2,summarise_transactions,clean,1,orchestrator,allowed,10,ok,True,25,0,0,63.991,,<repo>/data/family-2-full/runs/family-2-summarise_transactions-clean-a1-orchestrator-allowed-r10,2026-05-29T16:23:07.871427+00:00
family-2-summarise_transactions-clean-a1-orchestrator-forbidden-r01,family-2,summarise_transactions,clean,1,orchestrator,forbidden,1,ok,True,25,0,0,64.075,,<repo>/data/family-2-full/runs/family-2-summarise_transactions-clean-a1-orchestrator-forbidden-r01,2026-05-29T16:06:48.029525+00:00
family-2-summarise_transactions-clean-a1-orchestrator-forbidden-r02,family-2,summarise_transactions,clean,1,orchestrator,forbidden,2,ok,True,25,0,0,46.945,,<repo>/data/family-2-full/runs/family-2-summarise_transactions-clean-a1-orchestrator-forbidden-r02,2026-05-29T16:07:35.348458+00:00
family-2-summarise_transactions-clean-a1-orchestrator-forbidden-r03,family-2,summarise_transactions,clean,1,orchestrator,forbidden,3,ok,True,25,0,0,51.498,,<repo>/data/family-2-full/runs/family-2-summarise_transactions-clean-a1-orchestrator-forbidden-r03,2026-05-29T16:08:27.178917+00:00
family-2-summarise_transactions-clean-a1-orchestrator-forbidden-r04,family-2,summarise_transactions,clean,1,orchestrator,forbidden,4,ok,True,25,0,0,50.92,,<repo>/data/family-2-full/runs/family-2-summarise_transactions-clean-a1-orchestrator-forbidden-r04,2026-05-29T16:09:18.464857+00:00
family-2-summarise_transactions-clean-a1-orchestrator-forbidden-r05,family-2,summarise_transactions,clean,1,orchestrator,forbidden,5,ok,True,25,0,0,62.877,,<repo>/data/family-2-full/runs/family-2-summarise_transactions-clean-a1-orchestrator-forbidden-r05,2026-05-29T16:10:21.691331+00:00
family-2-summarise_transactions-clean-a1-orchestrator-forbidden-r06,family-2,summarise_transactions,clean,1,orchestrator,forbidden,6,ok,True,25,0,0,50.216,,<repo>/data/family-2-full/runs/family-2-summarise_transactions-clean-a1-orchestrator-forbidden-r06,2026-05-29T16:11:12.281039+00:00
family-2-summarise_transactions-clean-a1-orchestrator-forbidden-r07,family-2,summarise_transactions,clean,1,orchestrator,forbidden,7,ok,True,25,0,0,58.332,,<repo>/data/family-2-full/runs/family-2-summarise_transactions-clean-a1-orchestrator-forbidden-r07,2026-05-29T16:12:10.971573+00:00
family-2-summarise_transactions-clean-a1-orchestrator-forbidden-r08,family-2,summarise_transactions,clean,1,orchestrator,forbidden,8,ok,True,25,0,0,51.969,,<repo>/data/family-2-full/runs/family-2-summarise_transactions-clean-a1-orchestrator-forbidden-r08,2026-05-29T16:13:03.318030+00:00
family-2-summarise_transactions-clean-a1-orchestrator-forbidden-r09,family-2,summarise_transactions,clean,1,orchestrator,forbidden,9,ok,True,25,0,0,52.676,,<repo>/data/family-2-full/runs/family-2-summarise_transactions-clean-a1-orchestrator-forbidden-r09,2026-05-29T16:13:56.349383+00:00
