run_id,family,instance,agent_count,topology,artefact_policy,success,completion_time_s,total_input_tokens,total_output_tokens,n_nodes,n_edges,n_agent_nodes,n_file_nodes,n_agent_to_agent,n_agent_to_file,n_file_to_agent
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,family-1,process_orders/clean,4,orchestrator,forbidden,True,127.833,168,62149,8,26,7,1,22,2,2
family-1-process_orders-clean-a4-orchestrator-forbidden-r02,family-1,process_orders/clean,4,orchestrator,forbidden,True,92.312,161,46673,5,25,4,1,21,1,3
family-1-process_orders-clean-a4-orchestrator-forbidden-r03,family-1,process_orders/clean,4,orchestrator,forbidden,True,130.635,178,73051,5,31,4,1,27,1,3
