run_id,agent,turn_uuid,timestamp,is_sidechain,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,model
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-1,f63aa8e5-fec1-402b-b066-52a075ec6eaf,2026-05-23T08:40:38.309Z,False,1,44,23414,63,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-1,c7a160cf-fcea-484e-995c-2d84cdfffafa,2026-05-23T08:40:41.767Z,False,1,144,23477,63,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-1,f444add5-7dc1-4435-9816-99f38a1d84a9,2026-05-23T08:40:43.708Z,False,1,44,23540,169,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-1,0ac77adc-ae6b-4f00-804a-f2a9ea274534,2026-05-23T08:41:02.816Z,False,1,2204,23709,399,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-1,9c84d228-43c3-43a9-92b6-22e95454e3d1,2026-05-23T08:41:04.782Z,False,1,2204,23709,399,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-1,3840b9e8-1217-4a8c-a546-ddeeaab4d457,2026-05-23T08:41:11.074Z,False,1,2204,23709,399,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-1,aa9cedb3-80f3-4ab9-b183-0547b7b1c52d,2026-05-23T08:41:13.341Z,False,1,798,24108,2288,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-1,4312e52d-4ac2-4b61-9f06-bd7007711836,2026-05-23T08:41:16.979Z,False,1,798,24108,2288,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-1,8fd791b8-82db-4a6f-ae5d-8035c79b8e21,2026-05-23T08:41:18.964Z,False,1,798,24108,2288,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-1,83789280-9c29-442a-9370-fdf41992125f,2026-05-23T08:41:20.750Z,False,1,798,24108,2288,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-1,af016dd9-6961-4f05-a669-caac3620da70,2026-05-23T08:41:27.182Z,False,1,281,26396,1048,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-2,aea73446-6cc1-497e-87fb-3cc53d460876,2026-05-23T08:39:52.344Z,False,2,296,12933,6763,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-2,caaecc6f-e109-4a45-b738-83df10a24e2b,2026-05-23T08:39:52.980Z,False,2,296,12933,6763,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-2,0dbea2d1-30d1-4c28-8c30-bd3de6defe24,2026-05-23T08:39:54.631Z,False,2,296,12933,6763,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-2,dc3a25c0-9980-4743-82e5-07bc773c5b5c,2026-05-23T08:39:55.235Z,False,2,296,12933,6763,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-2,ac250895-0fc3-4475-8381-f4a885378522,2026-05-23T08:40:01.141Z,False,3,77,19696,633,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-2,0a42770e-9279-447d-8c06-5b0da6df2b40,2026-05-23T08:40:01.147Z,False,3,77,19696,633,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-2,6c063e6d-39ec-4ecb-9604-65339c36ca2e,2026-05-23T08:40:03.524Z,False,1,655,20329,98,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-2,cc6d4471-54b0-48eb-b075-1c561ea26797,2026-05-23T08:40:06.131Z,False,1,655,20329,98,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-2,f0c43b7d-1669-4806-ada8-826a53285cf4,2026-05-23T08:40:07.647Z,False,1,655,20329,98,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-2,e2f60173-db8e-4920-adf2-090125bf74d6,2026-05-23T08:40:08.950Z,False,1,655,20329,98,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-2,34576220-47c6-40df-bd32-b076d1b8cd6a,2026-05-23T08:40:11.512Z,False,1,121,20427,809,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-2,fad787d4-dce6-4506-86f1-cb08df3aa3e2,2026-05-23T08:40:12.199Z,False,1,121,20427,809,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-2,1f4ac1c6-0bc3-4c80-a5e6-f9471affd7b9,2026-05-23T08:40:12.199Z,False,1,121,20427,809,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-2,40ad478d-7d8f-41c3-ab4a-dc5caf51a10b,2026-05-23T08:40:14.582Z,False,1,293,21236,355,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-2,47e1cedd-3ba2-47aa-993b-4cef04216aa7,2026-05-23T08:40:15.028Z,False,1,293,21236,355,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-2,0139da53-bf1c-4456-908a-6759a427ea1d,2026-05-23T08:40:20.130Z,False,1,293,21236,355,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-2,86c92e07-a497-49bf-8566-be9f418cfde4,2026-05-23T08:40:22.093Z,False,1,44,21591,318,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-2,1e4b6ce0-18a4-4ec6-ba76-4b1f840ddef1,2026-05-23T08:40:24.558Z,False,1,60,21909,63,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-2,a28aa670-819d-4e92-9515-691a94ce18f2,2026-05-23T08:40:24.560Z,False,1,60,21909,63,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-2,8b2079e7-e0de-418a-86fa-7acb68fe22f5,2026-05-23T08:40:26.960Z,False,1,44,21972,79,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-2,7f7d076f-50c6-413f-bf08-87984ffdf11e,2026-05-23T08:40:28.706Z,False,1,44,22051,63,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-2,ba45712b-16f2-4447-999d-eb273198b428,2026-05-23T08:40:37.036Z,False,1,44,22114,63,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-2,6c17d738-c495-49c6-8935-04a6243899d5,2026-05-23T08:40:44.541Z,False,1,280,22177,374,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-2,e5acd7af-9f69-49da-967a-cbe94c7a14c2,2026-05-23T08:40:44.546Z,False,1,280,22177,374,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-2,4c49932d-4fb6-4a8b-9dcc-4de40767def7,2026-05-23T08:40:44.546Z,False,1,280,22177,374,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-2,cec8ab73-7b98-42f0-afe0-4600e0598a70,2026-05-23T08:40:46.171Z,False,1,44,22551,398,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-2,0ea94a77-a1a4-44e8-91f4-d291e63e4996,2026-05-23T08:41:15.978Z,False,1,2242,22949,259,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-2,24f496e3-9516-459b-9965-c4407edc8ff0,2026-05-23T08:41:15.979Z,False,1,2242,22949,259,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-2,d0a2a464-75d9-449d-8f5e-33b8a7d87948,2026-05-23T08:41:19.534Z,False,1,2242,22949,259,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-2,e66e42ea-6ce2-4a7d-85c7-578fe155e6fc,2026-05-23T08:41:28.599Z,False,1,609,23208,2262,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-2,60c54961-84bf-4594-9a6b-f00a54114d8a,2026-05-23T08:41:31.373Z,False,1,128,25470,655,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-2,80ecd215-e6f7-4383-9f14-4b738140ab85,2026-05-23T08:41:33.485Z,False,1,153,26125,143,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-2,662c8318-4492-4ed8-877f-2872a4a26e79,2026-05-23T08:41:34.050Z,False,1,153,26125,143,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-2,e10eba31-9cea-42ea-a4cd-8c76e2b61214,2026-05-23T08:41:34.552Z,False,1,153,26125,143,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-2,37e507f8-d6c6-4cab-90ab-678be7adf20b,2026-05-23T08:41:44.155Z,False,1,819,26268,744,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-2,ca3de731-6649-4822-b787-f60f950f801b,2026-05-23T08:41:44.991Z,False,1,819,26268,744,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-2,23a11b57-a8a0-486d-b7b3-804f3d58e0f0,2026-05-23T08:41:46.745Z,False,1,819,26268,744,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-2,a7cfad7d-afec-4ec7-a4de-afe5f9c65345,2026-05-23T08:41:51.265Z,False,1,142,27012,844,claude-sonnet-4-6
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-3,5a904a83-db33-47ad-a2f7-20b6faab0968,2026-05-23T08:39:53.728Z,False,2,280,12933,6804,claude-sonnet-4-6
