run_id,source,target,source_type,target_type,edge_type,subtype,timestamp,token_cost,byte_size,turn_uuid,tool
family-1-process_orders-clean-a4-orchestrator-forbidden-r02,<repo>/data/family-1-spec-check/runs/family-1-process_orders-clean-a4-orchestrator-forbidden-r02/workspace/solution.py,agent-3,file,agent,file_to_agent,read,2026-05-23T08:43:16.398Z,185.0,1664,f3c3a8fc-ad79-4f97-a4be-e9c1c2c0a36f,Read
family-1-process_orders-clean-a4-orchestrator-forbidden-r02,agent-1,agent-2,agent,agent,agent_to_agent,message,2026-05-23T08:42:13.036604+00:00,83.0,333,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r02,agent-1,agent-3,agent,agent,agent_to_agent,message,2026-05-23T08:42:13.834964+00:00,83.0,333,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r02,agent-1,agent-4,agent,agent,agent_to_agent,message,2026-05-23T08:42:14.315726+00:00,83.0,333,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r02,agent-4,agent-1,agent,agent,agent_to_agent,message,2026-05-23T08:42:19.653112+00:00,100.0,402,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r02,agent-2,agent-1,agent,agent,agent_to_agent,message,2026-05-23T08:42:20.494826+00:00,184.0,737,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r02,agent-4,agent-2,agent,agent,agent_to_agent,message,2026-05-23T08:42:21.228605+00:00,100.0,402,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r02,agent-4,agent-3,agent,agent,agent_to_agent,message,2026-05-23T08:42:22.113659+00:00,100.0,402,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r02,agent-3,agent-1,agent,agent,agent_to_agent,message,2026-05-23T08:42:23.146479+00:00,160.0,641,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r02,agent-3,agent-2,agent,agent,agent_to_agent,message,2026-05-23T08:42:24.703795+00:00,50.0,201,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r02,agent-2,agent-3,agent,agent,agent_to_agent,message,2026-05-23T08:42:24.901161+00:00,83.0,333,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r02,agent-4,agent-1,agent,agent,agent_to_agent,message,2026-05-23T08:42:29.242181+00:00,95.0,380,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r02,agent-2,agent-3,agent,agent,agent_to_agent,message,2026-05-23T08:42:44.164216+00:00,86.0,346,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r02,agent-2,agent-1,agent,agent,agent_to_agent,message,2026-05-23T08:42:47.367848+00:00,168.0,672,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r02,agent-1,agent-2,agent,agent,agent_to_agent,message,2026-05-23T08:42:54.722085+00:00,57.0,228,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r02,agent-1,agent-3,agent,agent,agent_to_agent,message,2026-05-23T08:42:55.489155+00:00,57.0,228,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r02,agent-1,agent-4,agent,agent,agent_to_agent,message,2026-05-23T08:42:55.975490+00:00,57.0,228,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r02,agent-3,agent-1,agent,agent,agent_to_agent,message,2026-05-23T08:43:00.821897+00:00,250.0,1000,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r02,agent-4,agent-1,agent,agent,agent_to_agent,message,2026-05-23T08:43:10.654256+00:00,58.0,238,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r02,agent-2,agent-1,agent,agent,agent_to_agent,message,2026-05-23T08:43:14.196437+00:00,111.0,454,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r02,agent-3,agent-1,agent,agent,agent_to_agent,message,2026-05-23T08:43:31.489235+00:00,88.0,354,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r02,agent-3,agent-2,agent,agent,agent_to_agent,message,2026-05-23T08:43:33.356531+00:00,102.0,410,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r03,agent-1,<repo>/data/family-1-spec-check/runs/family-1-process_orders-clean-a4-orchestrator-forbidden-r03/workspace/solution.py,agent,file,agent_to_file,create,2026-05-23T08:45:05.813Z,3464.0,1801,b1c06fff-7262-4622-a1f0-cdc1340b7c29,Write
family-1-process_orders-clean-a4-orchestrator-forbidden-r03,<repo>/data/family-1-spec-check/runs/family-1-process_orders-clean-a4-orchestrator-forbidden-r03/workspace/solution.py,agent-2,file,agent,file_to_agent,read,2026-05-23T08:45:13.513Z,108.0,1957,5b682f30-1f9a-4a1c-9293-f76aec6a9c7d,Read
family-1-process_orders-clean-a4-orchestrator-forbidden-r03,<repo>/data/family-1-spec-check/runs/family-1-process_orders-clean-a4-orchestrator-forbidden-r03/workspace/solution.py,agent-4,file,agent,file_to_agent,read,2026-05-23T08:45:19.939Z,177.0,1957,857970c2-6f40-4c69-b2a4-4a8dda618367,Read
family-1-process_orders-clean-a4-orchestrator-forbidden-r03,<repo>/data/family-1-spec-check/runs/family-1-process_orders-clean-a4-orchestrator-forbidden-r03/workspace/solution.py,agent-3,file,agent,file_to_agent,read,2026-05-23T08:45:33.191Z,179.0,1957,dad90f6f-ba8f-4f9d-bc3e-874aed20b078,Read
family-1-process_orders-clean-a4-orchestrator-forbidden-r03,agent-2,agent-1,agent,agent,agent_to_agent,message,2026-05-23T08:43:58.845523+00:00,138.0,554,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r03,agent-4,agent-1,agent,agent,agent_to_agent,message,2026-05-23T08:43:59.581617+00:00,126.0,502,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r03,agent-4,agent-2,agent,agent,agent_to_agent,message,2026-05-23T08:44:00.733089+00:00,126.0,502,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r03,agent-2,agent-4,agent,agent,agent_to_agent,message,2026-05-23T08:44:01.313398+00:00,130.0,518,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r03,agent-2,agent-3,agent,agent,agent_to_agent,message,2026-05-23T08:44:08.790026+00:00,140.0,561,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r03,agent-3,agent-1,agent,agent,agent_to_agent,message,2026-05-23T08:44:11.437046+00:00,180.0,720,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r03,agent-3,agent-2,agent,agent,agent_to_agent,message,2026-05-23T08:44:15.260858+00:00,180.0,720,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r03,agent-1,agent-2,agent,agent,agent_to_agent,message,2026-05-23T08:44:17.369227+00:00,54.0,215,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r03,agent-1,agent-3,agent,agent,agent_to_agent,message,2026-05-23T08:44:18.356450+00:00,54.0,215,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r03,agent-1,agent-4,agent,agent,agent_to_agent,message,2026-05-23T08:44:18.706329+00:00,54.0,215,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r03,agent-3,agent-4,agent,agent,agent_to_agent,message,2026-05-23T08:44:22.138855+00:00,182.0,729,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r03,agent-2,agent-1,agent,agent,agent_to_agent,message,2026-05-23T08:44:34.549279+00:00,220.0,881,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r03,agent-2,agent-3,agent,agent,agent_to_agent,message,2026-05-23T08:44:37.637087+00:00,124.0,495,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r03,agent-2,agent-4,agent,agent,agent_to_agent,message,2026-05-23T08:44:39.054509+00:00,110.0,439,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r03,agent-3,agent-1,agent,agent,agent_to_agent,message,2026-05-23T08:44:43.653513+00:00,198.0,793,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r03,agent-4,agent-1,agent,agent,agent_to_agent,message,2026-05-23T08:44:49.444464+00:00,294.0,1177,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r03,agent-4,agent-3,agent,agent,agent_to_agent,message,2026-05-23T08:44:51.954833+00:00,108.0,434,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r03,agent-3,agent-4,agent,agent,agent_to_agent,message,2026-05-23T08:45:09.707806+00:00,226.0,903,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r03,agent-1,agent-2,agent,agent,agent_to_agent,message,2026-05-23T08:45:12.883709+00:00,168.0,673,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r03,agent-3,agent-2,agent,agent,agent_to_agent,message,2026-05-23T08:45:13.422300+00:00,85.0,340,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r03,agent-1,agent-3,agent,agent,agent_to_agent,message,2026-05-23T08:45:14.781146+00:00,168.0,673,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r03,agent-1,agent-4,agent,agent,agent_to_agent,message,2026-05-23T08:45:16.796581+00:00,168.0,673,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r03,agent-2,agent-1,agent,agent,agent_to_agent,message,2026-05-23T08:45:30.651212+00:00,86.0,346,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r03,agent-4,agent-1,agent,agent,agent_to_agent,message,2026-05-23T08:45:31.837503+00:00,83.0,341,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r03,agent-2,agent-3,agent,agent,agent_to_agent,message,2026-05-23T08:45:33.059552+00:00,79.0,318,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r03,agent-2,agent-4,agent,agent,agent_to_agent,message,2026-05-23T08:45:33.648024+00:00,54.0,223,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r03,agent-3,agent-1,agent,agent,agent_to_agent,message,2026-05-23T08:45:46.672809+00:00,70.0,282,,send_message
