run_id,family,task_id,pattern,agent_count,topology,artefact_policy,replication,status,success,tests_passed,tests_failed,tests_errors,wall_time_s,error,run_dir,updated_at
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,family-1,process_orders,clean,4,orchestrator,forbidden,1,ok,True,22,0,0,132.737,,<repo>/data/family-1-spec-check/runs/family-1-process_orders-clean-a4-orchestrator-forbidden-r01,2026-05-23T08:42:01.004795+00:00
family-1-process_orders-clean-a4-orchestrator-forbidden-r02,family-1,process_orders,clean,4,orchestrator,forbidden,2,ok,True,22,0,0,96.893,,<repo>/data/family-1-spec-check/runs/family-1-process_orders-clean-a4-orchestrator-forbidden-r02,2026-05-23T08:43:38.278454+00:00
family-1-process_orders-clean-a4-orchestrator-forbidden-r03,family-1,process_orders,clean,4,orchestrator,forbidden,3,ok,True,22,0,0,134.63,,<repo>/data/family-1-spec-check/runs/family-1-process_orders-clean-a4-orchestrator-forbidden-r03,2026-05-23T08:45:53.322393+00:00
