run_id,family,instance,agent_count,topology,artefact_policy,success,completion_time_s,total_input_tokens,total_output_tokens,n_nodes,n_edges,n_agent_nodes,n_file_nodes,n_agent_to_agent,n_agent_to_agent_directed,n_agent_to_file,n_file_to_agent
family-1-process_orders-clean-a1-orchestrator-allowed-r01,family-1,process_orders/clean,1,orchestrator,allowed,True,20.964,10,2203,2,1,1,1,0,0,1,0
family-1-process_orders-clean-a1-orchestrator-allowed-r02,family-1,process_orders/clean,1,orchestrator,allowed,True,13.217,9,2124,2,1,1,1,0,0,1,0
family-1-process_orders-clean-a1-orchestrator-allowed-r03,family-1,process_orders/clean,1,orchestrator,allowed,True,13.621,8,1769,2,1,1,1,0,0,1,0
family-1-process_orders-clean-a1-orchestrator-allowed-r04,family-1,process_orders/clean,1,orchestrator,allowed,True,12.064,8,1128,2,1,1,1,0,0,1,0
family-1-process_orders-clean-a1-orchestrator-allowed-r05,family-1,process_orders/clean,1,orchestrator,allowed,True,15.051,9,1860,2,1,1,1,0,0,1,0
family-1-process_orders-clean-a1-orchestrator-allowed-r06,family-1,process_orders/clean,1,orchestrator,allowed,True,20.065,10,2061,2,1,1,1,0,0,1,0
family-1-process_orders-clean-a1-orchestrator-allowed-r07,family-1,process_orders/clean,1,orchestrator,allowed,True,13.299,8,1596,2,2,1,1,0,0,1,1
family-1-process_orders-clean-a1-orchestrator-allowed-r08,family-1,process_orders/clean,1,orchestrator,allowed,True,13.67,9,1788,2,1,1,1,0,0,1,0
family-1-process_orders-clean-a1-orchestrator-allowed-r09,family-1,process_orders/clean,1,orchestrator,allowed,True,16.115,9,2277,2,1,1,1,0,0,1,0
family-1-process_orders-clean-a1-orchestrator-allowed-r10,family-1,process_orders/clean,1,orchestrator,allowed,True,14.458,9,2137,2,1,1,1,0,0,1,0
family-1-process_orders-clean-a1-orchestrator-forbidden-r01,family-1,process_orders/clean,1,orchestrator,forbidden,True,12.147,9,2477,2,1,1,1,0,0,1,0
family-1-process_orders-clean-a1-orchestrator-forbidden-r02,family-1,process_orders/clean,1,orchestrator,forbidden,True,8.455,7,2468,2,1,1,1,0,0,1,0
family-1-process_orders-clean-a1-orchestrator-forbidden-r03,family-1,process_orders/clean,1,orchestrator,forbidden,True,12.003,9,2628,2,1,1,1,0,0,1,0
family-1-process_orders-clean-a1-orchestrator-forbidden-r04,family-1,process_orders/clean,1,orchestrator,forbidden,True,11.68,9,1857,2,1,1,1,0,0,1,0
family-1-process_orders-clean-a1-orchestrator-forbidden-r05,family-1,process_orders/clean,1,orchestrator,forbidden,True,33.582,9,2391,2,1,1,1,0,0,1,0
