family,draw,policy,n,N,M_mean,M_dir_mean,M_bc_mean,W_mean,R_mean,C_mean,tok_C_mean,readers_per_written_mean,C_slope,C_lo,C_hi,C_seg24,M_dir_slope,W_slope,R_slope,tok_C_slope
process_orders,solo,forbidden,2,10,4.0,4.0,0.0,2.9,1.6,8.5,5537.7,1.1,1.8640416830423865,1.718338165486781,2.009745200597992,2.1375035237499347,2.2420405095219023,0.8209218685334162,1.6891961450207655,1.010667779002349
process_orders,solo,forbidden,4,10,28.5,26.7,0.3,4.6,4.3,37.4,9725.7,2.7,1.8640416830423865,1.718338165486781,2.009745200597992,2.1375035237499347,2.2420405095219023,0.8209218685334162,1.6891961450207655,1.010667779002349
process_orders,solo,forbidden,8,10,87.4,87.1,0.3,9.0,16.1,112.5,22150.1,6.6,1.8640416830423865,1.718338165486781,2.009745200597992,2.1375035237499347,2.2420405095219023,0.8209218685334162,1.6891961450207655,1.010667779002349
process_orders,solo,allowed,2,10,4.1,4.1,0.0,2.8,1.2,8.1,4824.2,0.8,2.108048781762865,2.0111679980240385,2.204929565501691,2.187627003175771,2.4359683865783395,0.9698205532169163,1.8632425852218704,1.2982382260160579
process_orders,solo,allowed,4,10,29.1,28.6,0.2,3.4,4.4,36.9,9882.4,3.0,2.108048781762865,2.0111679980240385,2.204929565501691,2.187627003175771,2.4359683865783395,0.9698205532169163,1.8632425852218704,1.2982382260160579
process_orders,solo,allowed,8,10,121.1,119.8,1.3,11.2,16.9,149.2,29096.0,7.7,2.108048781762865,2.0111679980240385,2.204929565501691,2.187627003175771,2.4359683865783395,0.9698205532169163,1.8632425852218704,1.2982382260160579
process_orders,solo,mandatory,2,10,2.9,2.7,0.0,5.9,4.3,13.1,6097.6,0.9583333333333334,1.3231086435220016,1.136232408710973,1.5099848783330303,1.6704805719072136,0.8241584904037026,1.0111329021000899,1.8784102255926514,1.4922041643719388
process_orders,solo,mandatory,4,10,6.9,6.7,0.2,14.3,20.5,41.7,21356.6,2.6804761904761905,1.3231086435220016,1.136232408710973,1.5099848783330303,1.6704805719072136,0.8241584904037026,1.0111329021000899,1.8784102255926514,1.4922041643719388
process_orders,solo,mandatory,8,10,2.2,2.1,0.1,22.8,55.7,80.7,44410.3,5.087301587301587,1.3231086435220016,1.136232408710973,1.5099848783330303,1.6704805719072136,0.8241584904037026,1.0111329021000899,1.8784102255926514,1.4922041643719388
process_orders,peer,forbidden,2,10,3.5,2.3,0.0,3.9,2.4,9.8,5540.1,1.4,1.7461842226383344,1.533455864348797,1.9589125809278718,1.5947435215137415,2.536437953442291,0.3732296028328162,1.3740518626709566,0.9030643940981933
process_orders,peer,forbidden,4,10,15.7,15.4,0.0,7.3,6.6,29.6,11109.1,3.2,1.7461842226383344,1.533455864348797,1.9589125809278718,1.5947435215137415,2.536437953442291,0.3732296028328162,1.3740518626709566,0.9030643940981933
process_orders,peer,forbidden,8,10,89.5,88.2,1.3,6.6,14.2,110.3,19399.2,6.333333333333333,1.7461842226383344,1.533455864348797,1.9589125809278718,1.5947435215137415,2.536437953442291,0.3732296028328162,1.3740518626709566,0.9030643940981933
process_orders,peer,allowed,2,10,6.1,4.2,0.0,3.0,2.5,11.6,5292.9,1.4,1.7013243586802822,1.5428717780154648,1.8597769393450996,1.6458447428681784,2.1540596700457906,0.6146780727623069,2.0799718910413327,1.2086886836252815
process_orders,peer,allowed,4,10,28.5,27.6,0.0,4.5,3.3,36.3,10904.4,2.8,1.7013243586802822,1.5428717780154648,1.8597769393450996,1.6458447428681784,2.1540596700457906,0.6146780727623069,2.0799718910413327,1.2086886836252815
process_orders,peer,allowed,8,10,71.3,70.4,0.9,6.9,38.8,117.0,27445.0,6.7,1.7013243586802822,1.5428717780154648,1.8597769393450996,1.6458447428681784,2.1540596700457906,0.6146780727623069,2.0799718910413327,1.2086886836252815
process_orders,peer,mandatory,2,10,2.9,2.9,0.0,5.3,3.9,12.1,6042.8,1.1416666666666666,1.1185607554466814,0.9873071930413999,1.249814317851963,1.3894757928648127,0.5585807073049125,0.7830261841920234,1.6865003638434264,1.051218811062672
process_orders,peer,mandatory,4,10,0.9,0.9,0.0,12.9,17.9,31.7,15913.8,2.6083333333333334,1.1185607554466814,0.9873071930413999,1.249814317851963,1.3894757928648127,0.5585807073049125,0.7830261841920234,1.6865003638434264,1.051218811062672
process_orders,peer,mandatory,8,10,3.0,2.5,0.5,14.1,40.6,57.7,26859.7,3.1560846560846563,1.1185607554466814,0.9873071930413999,1.249814317851963,1.3894757928648127,0.5585807073049125,0.7830261841920234,1.6865003638434264,1.051218811062672
summarise_transactions,solo,forbidden,2,10,4.5,4.3,0.0,6.7,4.7,15.9,6464.8,0.9199999999999999,1.4490737359284007,1.341979616968825,1.5561678548879765,1.4486682771601238,2.132893129480627,7.221199267040707e-19,1.2633354387819193,0.9453871534461418
summarise_transactions,solo,forbidden,4,10,20.9,15.8,4.2,6.9,15.6,43.4,12121.7,2.64,1.4490737359284007,1.341979616968825,1.5561678548879765,1.4486682771601238,2.132893129480627,7.221199267040707e-19,1.2633354387819193,0.9453871534461418
summarise_transactions,solo,forbidden,8,10,86.2,81.5,4.7,6.7,25.9,118.8,23896.8,4.76,1.4490737359284007,1.341979616968825,1.5561678548879765,1.4486682771601238,2.132893129480627,7.221199267040707e-19,1.2633354387819193,0.9453871534461418
summarise_transactions,solo,allowed,2,10,5.2,4.5,0.0,6.5,4.0,15.7,6257.3,0.74,1.387449830006619,1.260459079358302,1.514440580654936,1.2637999643770375,1.9136291297785013,0.1587185453236753,1.2223745378203852,0.9831334080916846
