experiment,label,n,clique,degree_mean,degree_sem,clustering_mean,clustering_sem,runs,runs_with_network
exp1,distributed,2,1,0.9000,0.0671,0.0000,0.0000,20,19
exp1,distributed,4,3,2.9250,0.0399,0.9625,0.0200,20,20
exp1,distributed,8,7,5.4750,0.3579,0.8060,0.0433,20,20
exp2,chained,2,1,0.9000,0.0671,0.0000,0.0000,20,20
exp2,chained,4,3,1.5750,0.2100,0.3625,0.0910,20,17
exp2,chained,8,7,2.9875,0.1754,0.3825,0.0437,20,20
exp2_16step,chained (16-step),8,7,2.0500,0.2731,0.2346,0.0525,20,20
exp2_16step,chained (16-step),16,15,0.2812,0.1221,0.0298,0.0206,20,8
