run_id,family,task_id,pattern,agent_count,topology,artefact_policy,replication,status,success,tests_passed,tests_failed,tests_errors,wall_time_s,error,run_dir,updated_at
family-1-process_orders-clean-a2-peer-allowed-r01,family-1,process_orders,clean,2,peer,allowed,1,ok,True,22,0,0,379.515,,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a2-peer-allowed-r01,2026-05-23T05:07:30.354068+00:00
family-1-process_orders-clean-a2-peer-allowed-r02,family-1,process_orders,clean,2,peer,allowed,2,ok,True,22,0,0,252.851,,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a2-peer-allowed-r02,2026-05-23T05:11:43.539491+00:00
family-1-process_orders-clean-a2-peer-allowed-r03,family-1,process_orders,clean,2,peer,allowed,3,ok,True,22,0,0,342.587,,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a2-peer-allowed-r03,2026-05-23T05:17:26.497861+00:00
family-1-process_orders-clean-a4-orchestrator-allowed-r01,family-1,process_orders,clean,4,orchestrator,allowed,1,ok,True,22,0,0,186.664,,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a4-orchestrator-allowed-r01,2026-05-22T22:39:23.493945+00:00
family-1-process_orders-clean-a4-orchestrator-allowed-r02,family-1,process_orders,clean,4,orchestrator,allowed,2,ok,True,22,0,0,107.518,,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a4-orchestrator-allowed-r02,2026-05-22T22:41:11.420953+00:00
family-1-process_orders-clean-a4-orchestrator-allowed-r03,family-1,process_orders,clean,4,orchestrator,allowed,3,ok,False,21,1,0,354.895,,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a4-orchestrator-allowed-r03,2026-05-22T22:47:06.720968+00:00
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,family-1,process_orders,clean,4,orchestrator,forbidden,1,ok,True,22,0,0,168.947,,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a4-orchestrator-forbidden-r01,2026-05-22T22:30:18.369017+00:00
family-1-process_orders-clean-a4-orchestrator-forbidden-r02,family-1,process_orders,clean,4,orchestrator,forbidden,2,ok,False,21,1,0,167.906,,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a4-orchestrator-forbidden-r02,2026-05-22T22:33:06.655531+00:00
family-1-process_orders-clean-a4-orchestrator-forbidden-r03,family-1,process_orders,clean,4,orchestrator,forbidden,3,ok,False,21,1,0,189.43,,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a4-orchestrator-forbidden-r03,2026-05-22T22:36:16.473584+00:00
family-1-process_orders-clean-a4-orchestrator-mandatory-r01,family-1,process_orders,clean,4,orchestrator,mandatory,1,ok,False,21,1,0,123.899,,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a4-orchestrator-mandatory-r01,2026-05-22T22:49:11.031464+00:00
family-1-process_orders-clean-a4-orchestrator-mandatory-r02,family-1,process_orders,clean,4,orchestrator,mandatory,2,ok,False,21,1,0,88.802,,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a4-orchestrator-mandatory-r02,2026-05-22T22:50:40.256637+00:00
family-1-process_orders-clean-a4-orchestrator-mandatory-r03,family-1,process_orders,clean,4,orchestrator,mandatory,3,ok,True,22,0,0,143.817,,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a4-orchestrator-mandatory-r03,2026-05-22T22:53:04.457993+00:00
family-1-process_orders-clean-a4-peer-allowed-r01,family-1,process_orders,clean,4,peer,allowed,1,ok,False,21,1,0,206.082,,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a4-peer-allowed-r01,2026-05-22T22:15:55.687566+00:00
family-1-process_orders-clean-a4-peer-allowed-r02,family-1,process_orders,clean,4,peer,allowed,2,ok,True,22,0,0,171.354,,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a4-peer-allowed-r02,2026-05-22T22:18:47.399239+00:00
family-1-process_orders-clean-a4-peer-allowed-r03,family-1,process_orders,clean,4,peer,allowed,3,ok,True,22,0,0,163.473,,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a4-peer-allowed-r03,2026-05-22T22:21:31.326121+00:00
family-1-process_orders-clean-a4-peer-forbidden-r01,family-1,process_orders,clean,4,peer,forbidden,1,ok,True,22,0,0,184.871,,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a4-peer-forbidden-r01,2026-05-22T22:08:04.219708+00:00
family-1-process_orders-clean-a4-peer-forbidden-r02,family-1,process_orders,clean,4,peer,forbidden,2,ok,True,22,0,0,155.974,,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a4-peer-forbidden-r02,2026-05-22T22:10:40.614891+00:00
family-1-process_orders-clean-a4-peer-forbidden-r03,family-1,process_orders,clean,4,peer,forbidden,3,ok,True,22,0,0,108.183,,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a4-peer-forbidden-r03,2026-05-22T22:12:29.202461+00:00
family-1-process_orders-clean-a4-peer-mandatory-r01,family-1,process_orders,clean,4,peer,mandatory,1,ok,False,21,1,0,111.807,,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a4-peer-mandatory-r01,2026-05-22T22:23:23.550293+00:00
family-1-process_orders-clean-a4-peer-mandatory-r02,family-1,process_orders,clean,4,peer,mandatory,2,ok,True,22,0,0,106.888,,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a4-peer-mandatory-r02,2026-05-22T22:25:10.830753+00:00
family-1-process_orders-clean-a4-peer-mandatory-r03,family-1,process_orders,clean,4,peer,mandatory,3,ok,True,22,0,0,137.832,,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a4-peer-mandatory-r03,2026-05-22T22:27:29.052840+00:00
family-1-process_orders-clean-a8-peer-allowed-r01,family-1,process_orders,clean,8,peer,allowed,1,ok,True,22,0,0,479.729,,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a8-peer-allowed-r01,2026-05-23T05:25:26.575761+00:00
family-1-process_orders-clean-a8-peer-allowed-r02,family-1,process_orders,clean,8,peer,allowed,2,ok,True,22,0,0,217.568,,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a8-peer-allowed-r02,2026-05-23T05:29:04.503958+00:00
family-1-process_orders-clean-a8-peer-allowed-r03,family-1,process_orders,clean,8,peer,allowed,3,ok,True,22,0,0,325.213,,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a8-peer-allowed-r03,2026-05-23T05:34:30.093526+00:00
family-1-process_orders-conflicting-a4-orchestrator-allowed-r01,family-1,process_orders,conflicting,4,orchestrator,allowed,1,ok,True,22,0,0,253.869,,<repo>/data/family-1-pilot/runs/family-1-process_orders-conflicting-a4-orchestrator-allowed-r01,2026-05-23T04:40:56.035524+00:00
family-1-process_orders-conflicting-a4-orchestrator-allowed-r02,family-1,process_orders,conflicting,4,orchestrator,allowed,2,ok,True,22,0,0,771.546,,<repo>/data/family-1-pilot/runs/family-1-process_orders-conflicting-a4-orchestrator-allowed-r02,2026-05-23T04:53:47.971467+00:00
family-1-process_orders-conflicting-a4-orchestrator-allowed-r03,family-1,process_orders,conflicting,4,orchestrator,allowed,3,ok,True,22,0,0,442.093,,<repo>/data/family-1-pilot/runs/family-1-process_orders-conflicting-a4-orchestrator-allowed-r03,2026-05-23T05:01:10.480716+00:00
family-1-process_orders-conflicting-a4-peer-allowed-r01,family-1,process_orders,conflicting,4,peer,allowed,1,ok,True,22,0,0,333.715,,<repo>/data/family-1-pilot/runs/family-1-process_orders-conflicting-a4-peer-allowed-r01,2026-05-22T23:11:49.208752+00:00
family-1-process_orders-conflicting-a4-peer-allowed-r02,family-1,process_orders,conflicting,4,peer,allowed,2,ok,False,21,1,0,249.952,,<repo>/data/family-1-pilot/runs/family-1-process_orders-conflicting-a4-peer-allowed-r02,2026-05-22T23:15:59.615642+00:00
family-1-process_orders-conflicting-a4-peer-allowed-r03,family-1,process_orders,conflicting,4,peer,allowed,3,ok,False,20,2,0,237.51,,<repo>/data/family-1-pilot/runs/family-1-process_orders-conflicting-a4-peer-allowed-r03,2026-05-23T04:22:57.505353+00:00
family-1-process_orders-overlapping-a4-orchestrator-allowed-r01,family-1,process_orders,overlapping,4,orchestrator,allowed,1,ok,True,22,0,0,208.791,,<repo>/data/family-1-pilot/runs/family-1-process_orders-overlapping-a4-orchestrator-allowed-r01,2026-05-23T04:26:26.698837+00:00
family-1-process_orders-overlapping-a4-orchestrator-allowed-r02,family-1,process_orders,overlapping,4,orchestrator,allowed,2,ok,False,21,1,0,241.741,,<repo>/data/family-1-pilot/runs/family-1-process_orders-overlapping-a4-orchestrator-allowed-r02,2026-05-23T04:30:28.836273+00:00
family-1-process_orders-overlapping-a4-orchestrator-allowed-r03,family-1,process_orders,overlapping,4,orchestrator,allowed,3,ok,True,22,0,0,372.493,,<repo>/data/family-1-pilot/runs/family-1-process_orders-overlapping-a4-orchestrator-allowed-r03,2026-05-23T04:36:41.736363+00:00
family-1-process_orders-overlapping-a4-peer-allowed-r01,family-1,process_orders,overlapping,4,peer,allowed,1,ok,True,22,0,0,156.31,,<repo>/data/family-1-pilot/runs/family-1-process_orders-overlapping-a4-peer-allowed-r01,2026-05-22T22:55:41.110559+00:00
family-1-process_orders-overlapping-a4-peer-allowed-r02,family-1,process_orders,overlapping,4,peer,allowed,2,ok,True,22,0,0,271.394,,<repo>/data/family-1-pilot/runs/family-1-process_orders-overlapping-a4-peer-allowed-r02,2026-05-22T23:00:12.880267+00:00
family-1-process_orders-overlapping-a4-peer-allowed-r03,family-1,process_orders,overlapping,4,peer,allowed,3,ok,True,22,0,0,361.899,,<repo>/data/family-1-pilot/runs/family-1-process_orders-overlapping-a4-peer-allowed-r03,2026-05-22T23:06:15.134787+00:00
